,time,number,t2m
111,2024-03-16 12:00:00,12,284.2855173296912
112,2024-03-16 12:00:00,13,284.3167968239597
113,2024-03-16 12:00:00,14,284.0596767995458
114,2024-03-16 12:00:00,15,283.74991084777696
115,2024-03-16 12:00:00,16,284.13497131807395
116,2024-03-16 12:00:00,17,284.4264084327611
117,2024-03-16 12:00:00,18,283.86842872248417
118,2024-03-16 12:00:00,19,284.31985163013996
119,2024-03-16 12:00:00,20,284.5604498859169
120,2024-03-16 12:00:00,21,284.39030148421887
121,2024-03-16 12:00:00,22,283.7674480167781
122,2024-03-16 12:00:00,23,283.998124606285
123,2024-03-16 12:00:00,24,283.94191617256774
124,2024-03-16 12:00:00,25,284.603673242096
125,2024-03-16 12:00:00,26,284.3943716907633
126,2024-03-16 12:00:00,27,283.9961024106445
127,2024-03-16 12:00:00,28,284.70338039480293
128,2024-03-16 12:00:00,29,283.9948202525576
129,2024-03-16 12:00:00,30,284.1113073265366
130,2024-03-16 12:00:00,31,284.5744417587314
131,2024-03-16 12:00:00,32,283.8089159350395
132,2024-03-16 12:00:00,33,284.0469670848182
133,2024-03-16 12:00:00,34,284.0683249128167
134,2024-03-16 12:00:00,35,284.40734816321367
135,2024-03-16 12:00:00,36,284.61893006282173
136,2024-03-16 12:00:00,37,284.2089750734274
137,2024-03-16 12:00:00,38,284.1247742889933
138,2024-03-16 12:00:00,39,283.9373554760168
139,2024-03-16 12:00:00,40,284.20616120970635
140,2024-03-16 12:00:00,41,284.3452882697708
141,2024-03-16 12:00:00,42,283.9170044432947
142,2024-03-16 12:00:00,43,284.2631441013285
143,2024-03-16 12:00:00,44,284.09145538890857
144,2024-03-16 12:00:00,45,283.9170044432947
145,2024-03-16 12:00:00,46,284.67489755407973
146,2024-03-16 12:00:00,47,284.68253026698653
147,2024-03-16 12:00:00,48,284.37630100631657
148,2024-03-16 12:00:00,49,284.30458620432637
149,2024-03-16 12:00:00,50,284.38901072104414
150,2024-03-16 18:00:00,1,281.6881059880161
151,2024-03-16 18:00:00,2,282.45717710789467
152,2024-03-16 18:00:00,3,282.26542133065107
153,2024-03-16 18:00:00,4,281.38112808470476
154,2024-03-16 18:00:00,5,282.299747026012
155,2024-03-16 18:00:00,6,282.93404526026904
156,2024-03-16 18:00:00,7,282.1074835485863
157,2024-03-16 18:00:00,8,282.6962436580375
158,2024-03-16 18:00:00,9,282.65760681367277
159,2024-03-16 18:00:00,10,282.53855542351994
160,2024-03-16 18:00:00,11,283.03018130152583
161,2024-03-16 18:00:00,12,282.5970700207761
162,2024-03-16 18:00:00,13,282.16367477212793
163,2024-03-16 18:00:00,14,283.65912717115157
164,2024-03-16 18:00:00,15,281.560165542133
165,2024-03-16 18:00:00,16,282.4322567735338
166,2024-03-16 18:00:00,17,282.50880763488544
167,2024-03-16 18:00:00,18,281.73844575183205
168,2024-03-16 18:00:00,19,281.890032979077
169,2024-03-16 18:00:00,20,282.09707139230983
170,2024-03-16 18:00:00,21,281.86308184398774
171,2024-03-16 18:00:00,22,280.954616906322
172,2024-03-16 18:00:00,23,282.5304236155189
173,2024-03-16 18:00:00,24,282.1084903438626
174,2024-03-16 18:00:00,25,281.899954645347
175,2024-03-16 18:00:00,26,283.5413751492613
176,2024-03-16 18:00:00,27,283.1631901441419
177,2024-03-16 18:00:00,28,282.8414717253747
178,2024-03-16 18:00:00,29,281.696246401105
179,2024-03-16 18:00:00,30,282.9424180107294
180,2024-03-16 18:00:00,31,281.88951667380707
181,2024-03-16 18:00:00,32,282.2748266916511
182,2024-03-16 18:00:00,33,281.74608706982673
183,2024-03-16 18:00:00,34,282.9309904540888
184,2024-03-16 18:00:00,35,281.28907946016807
185,2024-03-16 18:00:00,36,283.3587493702072
186,2024-03-16 18:00:00,37,283.46608063073313
187,2024-03-16 18:00:00,38,281.98236557151205
188,2024-03-16 18:00:00,39,282.6074907821404
189,2024-03-16 18:00:00,40,283.1644464869653
190,2024-03-16 18:00:00,41,281.961240080885
191,2024-03-16 18:00:00,42,283.208969211407
192,2024-03-16 18:00:00,43,283.43047277728516
193,2024-03-16 18:00:00,44,282.57874118369443
194,2024-03-16 18:00:00,45,282.05433852613714
195,2024-03-16 18:00:00,46,282.9627690434516
196,2024-03-16 18:00:00,47,283.8905610083876
197,2024-03-16 18:00:00,48,283.4421843018242
198,2024-03-16 18:00:00,49,281.7506563714654
199,2024-03-16 18:00:00,50,283.5215232116334
200,2024-03-17 00:00:00,1,280.18631163926045
201,2024-03-17 00:00:00,2,280.557638389378
202,2024-03-17 00:00:00,3,280.9749679390442
203,2024-03-17 00:00:00,4,280.3478291378632
204,2024-03-17 00:00:00,5,280.66189763354794
205,2024-03-17 00:00:00,6,279.8348368267709
206,2024-03-17 00:00:00,7,280.2682320754191
207,2024-03-17 00:00:00,8,281.0207470063093
208,2024-03-17 00:00:00,9,280.33255510696176
209,2024-03-17 00:00:00,10,280.1562970929032
210,2024-03-17 00:00:00,11,280.33001660605134
211,2024-03-17 00:00:00,12,280.5011718030257
212,2024-03-17 00:00:00,13,280.6509691720015
213,2024-03-17 00:00:00,14,280.1908723358113
214,2024-03-17 00:00:00,15,279.7186079054269
215,2024-03-17 00:00:00,16,280.24813059024405
216,2024-03-17 00:00:00,17,281.04544360838656
217,2024-03-17 00:00:00,18,280.44216671576316
218,2024-03-17 00:00:00,19,279.9215502968518
219,2024-03-17 00:00:00,20,281.20234017482363
220,2024-03-17 00:00:00,21,281.2397292814528
221,2024-03-17 00:00:00,22,280.9737115962207
222,2024-03-17 00:00:00,23,279.765410978144
223,2024-03-17 00:00:00,24,281.6949556379302
224,2024-03-17 00:00:00,25,280.36078840013784
225,2024-03-17 00:00:00,26,280.1301204157188
226,2024-03-17 00:00:00,27,280.29744634860805
227,2024-03-17 00:00:00,28,280.4317459543988
228,2024-03-17 00:00:00,29,280.47394530512594
229,2024-03-17 00:00:00,30,280.38698228749786
230,2024-03-17 00:00:00,31,280.6473980605514
231,2024-03-17 00:00:00,32,280.30611167205467
232,2024-03-17 00:00:00,33,281.5324571593146
233,2024-03-17 00:00:00,34,281.1392562759288
234,2024-03-17 00:00:00,35,280.86409998741937
