,datetime,vlinder_temp
165,2023-04-11 06:00:00,7.0
166,2023-04-11 12:00:00,12.6
167,2023-04-11 18:00:00,11.2
168,2023-04-12 00:00:00,8.1
169,2023-04-12 06:00:00,8.5
170,2023-04-12 12:00:00,10.1
171,2023-04-12 18:00:00,9.1
172,2023-04-13 00:00:00,6.8
173,2023-04-13 06:00:00,6.6
174,2023-04-13 12:00:00,13.0
175,2023-04-13 18:00:00,9.7
176,2023-04-14 00:00:00,6.4
177,2023-04-14 06:00:00,5.3
178,2023-04-14 12:00:00,13.7
179,2023-04-14 18:00:00,14.1
180,2023-04-15 00:00:00,14.1
